Pos	Weights	Type
642	9824973221.58	E. coli
645	9923278886.33	E. coli
644	9777684806.98	E. coli
438	9382089252.63	E. coli
439	9258020724.02	E. coli
436	9641921294.12	E. coli
437	9342766986.73	E. coli
434	10116161380.3	E. coli
435	9933617930.38	E. coli
432	10066330577.8	E. coli
433	10196670329.8	E. coli
430	10199382210.3	E. coli
431	10194127942.0	E. coli
753	6573428613.74	E. coli
339	12469565095.9	E. coli
338	12451090410.6	E. coli
335	12731939525.2	E. coli
334	13102619678.3	E. coli
337	12450242948.0	E. coli
336	12492446586.8	E. coli
331	13313807365.0	E. coli
330	13378384017.2	E. coli
333	13210247432.0	E. coli
332	13177026897.0	E. coli
89	27194567227.6	E. coli
559	10965488425.2	E. coli
752	6572920136.16	E. coli
558	11052946568.3	E. coli
854	11504644148.6	E. coli
855	11451592988.1	E. coli
856	11408880871.7	E. coli
857	11370575561.0	E. coli
850	11452440450.8	E. coli
851	11343626249.4	E. coli
852	11393457051.9	E. coli
853	11590746351.5	E. coli
858	11530576505.0	E. coli
859	11479898239.9	E. coli
555	10903284668.4	E. coli
749	6554784435.94	E. coli
99	26856599131.9	E. coli
98	27371178439.1	E. coli
91	27342534202.3	E. coli
90	27277110087.5	E. coli
93	27458636582.2	E. coli
92	27757790889.6	E. coli
95	27009481389.8	E. coli
94	27150499171.0	E. coli
97	27484229953.6	E. coli
96	27499314788.3	E. coli
814	7429196374.63	E. coli
6	6885803338.1	E. coli
815	7456315178.7	E. coli
153	16912811650.0	E. coli
740	7096991024.79	E. coli
741	7153771020.81	E. coli
742	7020380403.3	E. coli
743	6944956229.48	E. coli
744	6956990198.78	E. coli
745	6845972594.63	E. coli
746	6681395352.44	E. coli
747	6803090985.69	E. coli
748	6760039884.24	E. coli
554	10860064074.4	E. coli
557	11074302626.5	E. coli
556	11188032111.1	E. coli
551	10971759648.6	E. coli
550	10881250640.1	E. coli
553	10920233920.9	E. coli
552	10957522276.5	E. coli
238	12992110551.8	E. coli
239	12688549438.7	E. coli
234	12683295170.4	E. coli
235	12927025422.0	E. coli
236	13122958781.4	E. coli
237	13201942298.2	E. coli
230	14298897922.8	E. coli
231	12841431696.7	E. coli
232	12682786692.8	E. coli
233	12643294934.4	E. coli
1	1217803795.21	E. coli
146	17075185489.4	E. coli
147	17160101244.6	E. coli
618	8210217931.81	E. coli
619	8326828789.31	E. coli
142	17094168652.2	E. coli
143	17611798824.9	E. coli
140	17447221582.7	E. coli
141	18175191979.4	E. coli
612	8700390315.35	E. coli
613	8738865118.63	E. coli
610	8918018718.01	E. coli
611	8688186853.52	E. coli
616	8651067990.45	E. coli
617	8253947003.37	E. coli
614	8752424520.66	E. coli
615	8580389607.35	E. coli
11	10009211596.7	E. coli
948	8867679437.95	E. coli
949	9045138112.08	E. coli
946	8954798596.02	E. coli
947	8958696924.11	E. coli
944	9228020547.02	E. coli
945	9181579595.05	E. coli
942	9750227017.86	E. coli
943	9308190511.54	E. coli
940	9555480106.15	E. coli
941	9545480047.15	E. coli
689	10426502194.3	E. coli
688	10197517792.5	E. coli
685	10098364665.1	E. coli
684	10214636537.5	E. coli
687	10410569896.9	E. coli
1000	14791443201.7	E. coli
681	10587350601.0	E. coli
680	10623113523.8	E. coli
683	10340061006.4	E. coli
682	10410230911.9	E. coli
623	8831069052.46	E. coli
763	6119019153.06	E. coli
622	9048188977.54	E. coli
133	17267898490.8	E. coli
132	17540950949.2	E. coli
131	17575188439.4	E. coli
130	18285531613.5	E. coli
137	16963150930.0	E. coli
136	17142135036.9	E. coli
135	18229090602.5	E. coli
134	18784517608.3	E. coli
494	8465134690.06	E. coli
495	8495304359.58	E. coli
139	17114677247.8	E. coli
138	17131965485.4	E. coli
490	8553270803.28	E. coli
491	8672424048.66	E. coli
492	8903781345.87	E. coli
493	8605982978.69	E. coli
24	16072128723.9	E. coli
25	17264169655.2	E. coli
26	17497221877.7	E. coli
27	18020106318.6	E. coli
20	13939234783.9	E. coli
21	14687544283.6	E. coli
22	15097038225.1	E. coli
23	15362802504.9	E. coli
28	18379091487.5	E. coli
29	18333497998.1	E. coli
626	9062087364.62	E. coli
407	10938708606.2	E. coli
406	10805317988.7	E. coli
939	9863617517.38	E. coli
938	9901922828.12	E. coli
403	10806673928.9	E. coli
402	10888708311.2	E. coli
401	10768029633.1	E. coli
400	10864640372.6	E. coli
933	10807351899.0	E. coli
932	11061421194.6	E. coli
931	11382270545.2	E. coli
930	11422948751.3	E. coli
937	10101754515.6	E. coli
452	8015471020.09	E. coli
409	11114811340.1	E. coli
408	10970234215.9	E. coli
628	9147511597.44	E. coli
758	6335969585.61	E. coli
977	13279061397.3	E. coli
379	8219709513.24	E. coli
378	8257675838.93	E. coli
829	8306659178.78	E. coli
828	8088013820.98	E. coli
825	7714621787.45	E. coli
824	7770554320.85	E. coli
373	9761583017.07	E. coli
372	9941584079.07	E. coli
375	8776831444.32	E. coli
820	7939707861.23	E. coli
823	7890894013.9	E. coli
376	8554287758.43	E. coli
708	9400055460.33	E. coli
709	9794295074.48	E. coli
704	9177003296.86	E. coli
705	9386496058.29	E. coli
706	9325817734.19	E. coli
707	9322597376.21	E. coli
700	9597514252.45	E. coli
701	9437513308.45	E. coli
702	9409716534.28	E. coli
703	9256664783.81	E. coli
393	10377518854.5	E. coli
392	10189890628.8	E. coli
88	27276771102.4	E. coli
145	16935523648.4	E. coli
397	10823623181.4	E. coli
396	11040743106.5	E. coli
395	10970403708.4	E. coli
176	15580600400.1	E. coli
82	26627953715.1	E. coli
83	26843378714.9	E. coli
80	28612880680.4	E. coli
81	27344059635.0	E. coli
86	27046769745.4	E. coli
87	27144905917.7	E. coli
84	26925413097.2	E. coli
85	26944057275.0	E. coli
797	6220714668.32	E. coli
796	6215968877.61	E. coli
795	6015967697.6	E. coli
794	5390709771.29	E. coli
793	5886814393.22	E. coli
792	4822909811.1	E. coli
791	5021385558.38	E. coli
415	11109218086.8	E. coli
799	6628513684.5	E. coli
798	6414275132.36	E. coli
7	7129872574.72	E. coli
601	9231918875.1	E. coli
586	9616158430.25	E. coli
587	9522090078.64	E. coli
584	9731582840.07	E. coli
585	9694124991.95	E. coli
582	10802097630.7	E. coli
583	9986838583.36	E. coli
580	11498881402.7	E. coli
581	11138709786.2	E. coli
413	11202099990.7	E. coli
588	9564463209.99	E. coli
589	9624294071.47	E. coli
245	13003297058.4	E. coli
244	12949737420.4	E. coli
247	13348722825.3	E. coli
246	13107365469.0	E. coli
241	12786346625.9	E. coli
148	16475690426.9	E. coli
243	13049568517.9	E. coli
242	12999059745.3	E. coli
149	16073315171.5	E. coli
249	13031602310.2	E. coli
248	13164823435.2	E. coli
924	12196343144.9	E. coli
970	9355139941.09	E. coli
498	8589203218.67	E. coli
925	11702950403.3	E. coli
519	11141591159.1	E. coli
518	11121082563.5	E. coli
511	9649039980.18	E. coli
510	9842600444.22	E. coli
513	10057855951.5	E. coli
512	10063279712.3	E. coli
515	10035991415.7	E. coli
514	10098195172.6	E. coli
517	11128370742.1	E. coli
516	10424468284.0	E. coli
458	8170387188.34	E. coli
459	8137166653.35	E. coli
621	9287342930.92	E. coli
620	9112087659.62	E. coli
627	8917001762.85	E. coli
951	8902255913.14	E. coli
625	9081240019.99	E. coli
624	8768695803.1	E. coli
450	8378862994.61	E. coli
451	8208014528.98	E. coli
629	9028866829.64	E. coli
453	8006996393.82	E. coli
454	7872927806.21	E. coli
455	7811063034.42	E. coli
456	7894283864.41	E. coli
457	8080556149.86	E. coli
179	15539922194.0	E. coli
178	15362971997.5	E. coli
177	15414836710.2	E. coli
199	16600436925.6	E. coli
175	15769245580.9	E. coli
174	16191959939.3	E. coli
173	16078908424.9	E. coli
172	15791110116.7	E. coli
171	15581447862.7	E. coli
170	15520600046.1	E. coli
203	16511622842.3	E. coli
656	9907855066.51	E. coli
975	13146857227.5	E. coli
974	11327863444.6	E. coli
973	9324631286.51	E. coli
972	9172426998.68	E. coli
971	9041748261.57	E. coli
657	9889380381.24	E. coli
654	9837685160.99	E. coli
979	13753979453.6	E. coli
978	13350587243.0	E. coli
182	15638227858.8	E. coli
183	16177214089.6	E. coli
180	15700770600.6	E. coli
181	15602973413.5	E. coli
186	16517894065.7	E. coli
653	9710904751.97	E. coli
184	16409927327.0	E. coli
185	16201112535.7	E. coli
652	9694124991.95	E. coli
188	16326028527.0	E. coli
189	16669928861.1	E. coli
658	10078534039.6	E. coli
659	10020567595.9	E. coli
650	9558700464.13	E. coli
651	9597683744.98	E. coli
764	6187494133.33	E. coli
869	11424474184.1	E. coli
868	11423626721.4	E. coli
13	10932606875.3	E. coli
12	10332772827.8	E. coli
15	11604305753.5	E. coli
14	11269558015.8	E. coli
17	12622786338.8	E. coli
16	12023630261.5	E. coli
861	11433626780.4	E. coli
860	11139726741.3	E. coli
863	11494135612.0	E. coli
862	11625831304.3	E. coli
865	11529220564.8	E. coli
864	11574136084.0	E. coli
867	11177693067.0	E. coli
866	11332609235.3	E. coli
883	13767369363.1	E. coli
882	13504994933.7	E. coli
881	12430751307.5	E. coli
880	11921595761.1	E. coli
887	13782962675.4	E. coli
886	13933641530.5	E. coli
885	13757538796.6	E. coli
884	13772793123.9	E. coli
928	11317185415.5	E. coli
889	13909065114.3	E. coli
888	13846691865.0	E. coli
278	13088551798.7	E. coli
950	8962595252.19	E. coli
756	6426478594.19	E. coli
929	11236167988.3	E. coli
809	7086482488.21	E. coli
322	12936347510.9	E. coli
323	13081094127.6	E. coli
320	13125840154.3	E. coli
321	13008890311.8	E. coli
326	13496011829.9	E. coli
327	13453469206.0	E. coli
324	13072450008.8	E. coli
325	13320926051.1	E. coli
328	13323298946.4	E. coli
329	13405333328.8	E. coli
759	6414953102.46	E. coli
775	5672236856.03	E. coli
774	5733084672.66	E. coli
777	5534269940.33	E. coli
776	5710881151.83	E. coli
771	5799356250.1	E. coli
770	5929187524.58	E. coli
773	5604948323.43	E. coli
772	5723932076.28	E. coli
209	16111281497.2	E. coli
208	16035009860.8	E. coli
779	5383421592.7	E. coli
778	5416642127.68	E. coli
77	29014069488.1	E. coli
76	29283393111.0	E. coli
75	29247121710.6	E. coli
74	29033561128.5	E. coli
73	29520682646.6	E. coli
72	29813226745.5	E. coli
71	29765260360.8	E. coli
70	29341359554.7	E. coli
655	9860058174.34	E. coli
79	28733898343.6	E. coli
78	28637457096.6	E. coli
2	5694101391.81	E. coli
686	10221755223.6	E. coli
806	6828006386.93	E. coli
805	6771565375.96	E. coli
804	6756989018.78	E. coli
669	9439377726.23	E. coli
668	9550564822.91	E. coli
667	9701921648.12	E. coli
666	9684802903.05	E. coli
665	9989550463.77	E. coli
664	9842091966.65	E. coli
663	9985313150.64	E. coli
662	9994126761.96	E. coli
661	9974126643.96	E. coli
660	9907346588.94	E. coli
769	6237833413.39	E. coli
692	10444807387.1	E. coli
693	10418536045.6	E. coli
690	10432095447.7	E. coli
691	10348874617.7	E. coli
696	10070567890.9	E. coli
697	10038872788.7	E. coli
694	10295145487.1	E. coli
695	10162941317.3	E. coli
698	10059381384.2	E. coli
699	9980567359.92	E. coli
542	12136851268.4	E. coli
543	12180749832.5	E. coli
540	12107190076.5	E. coli
541	12142783506.8	E. coli
546	11709391119.3	E. coli
547	11619221095.8	E. coli
544	11916002507.8	E. coli
545	11920070328.4	E. coli
8	7539366516.16	E. coli
548	11345151682.2	E. coli
549	11064980537.6	E. coli
995	14116862950.5	E. coli
994	13687877368.6	E. coli
997	13997031735.0	E. coli
996	14041269284.2	E. coli
991	12683973140.5	E. coli
990	12851092770.6	E. coli
993	12976517239.4	E. coli
992	12673295111.4	E. coli
258	12302953943.4	E. coli
999	14581950440.3	E. coli
998	14027709882.1	E. coli
120	21986570398.7	E. coli
121	21459957122.2	E. coli
122	21164362157.9	E. coli
123	21117073743.3	E. coli
124	20544527992.4	E. coli
125	19458250396.9	E. coli
126	19205537041.5	E. coli
127	20671138908.9	E. coli
128	19348588732.9	E. coli
129	18765025967.9	E. coli
765	6080883334.84	E. coli
214	14694154492.1	E. coli
563	10772266946.2	E. coli
414	11210574617.0	E. coli
19	13918217710.7	E. coli
416	10985658035.7	E. coli
417	11198371155.1	E. coli
410	11253795211.0	E. coli
411	11278202134.6	E. coli
412	11052777075.8	E. coli
18	13525842514.3	E. coli
920	11156337008.8	E. coli
426	10314467635.0	E. coli
922	11352948338.3	E. coli
923	11050743165.5	E. coli
418	10948708665.2	E. coli
419	10813792614.9	E. coli
926	11500237342.9	E. coli
927	11695153747.2	E. coli
319	13118212990.7	E. coli
318	13580588600.0	E. coli
313	14148897037.8	E. coli
312	13891607384.2	E. coli
311	13897878607.7	E. coli
310	13720928411.1	E. coli
317	13990082541.5	E. coli
316	14077201699.6	E. coli
315	14411949437.3	E. coli
314	14251948493.3	E. coli
448	8478016121.99	E. coli
921	11228201839.6	E. coli
496	8473270331.28	E. coli
832	10348874617.7	E. coli
833	10172093913.7	E. coli
830	9130562344.89	E. coli
831	9855481876.16	E. coli
836	10306670978.9	E. coli
837	10473451623.9	E. coli
834	10050398280.4	E. coli
835	9994126761.96	E. coli
838	10378027332.1	E. coli
839	10282772532.8	E. coli
808	7205635733.59	E. coli
3	5803424070.71	E. coli
368	10255145251.1	E. coli
369	10200568657.9	E. coli
366	10352772945.8	E. coli
367	10193110986.8	E. coli
364	10258535101.6	E. coli
365	10210568716.9	E. coli
362	10667690058.0	E. coli
363	10591418421.6	E. coli
360	11007522571.5	E. coli
361	10877860789.5	E. coli
10	9559378434.23	E. coli
952	8547169072.37	E. coli
380	8163607487.32	E. coli
381	8120725878.38	E. coli
382	8142081936.59	E. coli
383	8722593836.18	E. coli
384	8967849520.48	E. coli
385	9407852116.5	E. coli
386	9524123988.94	E. coli
387	9533276585.31	E. coli
388	9472089783.63	E. coli
389	9494293304.47	E. coli
784	5055114570.94	E. coli
785	5472744153.6	E. coli
786	5480201824.72	E. coli
787	5420540455.76	E. coli
780	5764101804.81	E. coli
781	4566467620.13	E. coli
782	4719010893.01	E. coli
783	4810197871.69	E. coli
788	4473755208.72	E. coli
789	4787146888.23	E. coli
252	12468717633.2	E. coli
151	16458571681.8	E. coli
579	11693797807.0	E. coli
578	11586848023.4	E. coli
150	16523995796.7	E. coli
573	11087184058.5	E. coli
572	10988200423.6	E. coli
571	11128201249.6	E. coli
570	11054980478.6	E. coli
577	11711933507.2	E. coli
576	10851080970.5	E. coli
575	10950064605.4	E. coli
574	11122438503.7	E. coli
60	27533382785.9	E. coli
61	27503043623.9	E. coli
62	27644061405.0	E. coli
63	27721858474.2	E. coli
64	27912198580.3	E. coli
65	28072877494.4	E. coli
66	28436438961.4	E. coli
67	28421693111.7	E. coli
68	28679830227.9	E. coli
69	29100171691.0	E. coli
250	12766854985.5	E. coli
251	12544311299.6	E. coli
256	12443463246.9	E. coli
257	12257699439.1	E. coli
254	12369395013.3	E. coli
600	9390902863.95	E. coli
499	8514796000.01	E. coli
157	17247389895.2	E. coli
602	9200901742.95	E. coli
405	10753622768.4	E. coli
731	7001736225.5	E. coli
730	7248008864.95	E. coli
733	7010380344.29	E. coli
404	10581926840.1	E. coli
735	7037499148.36	E. coli
734	6942413841.6	E. coli
508	9804464626.0	E. coli
736	7159533766.67	E. coli
506	9673277411.32	E. coli
507	9866498890.31	E. coli
504	9293783646.88	E. coli
505	9445987934.72	E. coli
502	9043951664.4	E. coli
503	9147342104.91	E. coli
500	8504965433.53	E. coli
501	8785306070.59	E. coli
630	9207850936.49	E. coli
631	9275308961.61	E. coli
632	9252427470.68	E. coli
633	9406496176.29	E. coli
469	7237330835.85	E. coli
468	7249873282.73	E. coli
636	9661751919.59	E. coli
637	9822939311.27	E. coli
465	7786486618.24	E. coli
464	7887334670.87	E. coli
467	7267161520.32	E. coli
466	7385128318.02	E. coli
461	7949199442.65	E. coli
460	7911911087.06	E. coli
463	8030894839.91	E. coli
462	8028521944.55	E. coli
901	12966347687.9	E. coli
168	16175010686.8	E. coli
169	15748228507.8	E. coli
164	16250265368.1	E. coli
165	16418062968.3	E. coli
166	16602301343.4	E. coli
167	16535012810.8	E. coli
160	17192135331.9	E. coli
161	16647894832.7	E. coli
162	16735183483.3	E. coli
163	16560267197.1	E. coli
964	9410225011.85	E. coli
965	9193105086.78	E. coli
966	9091070586.47	E. coli
967	8962595252.19	E. coli
960	8933442537.82	E. coli
961	8854628513.49	E. coli
962	8870560810.89	E. coli
963	9219376428.22	E. coli
968	8950730775.41	E. coli
969	9264291947.46	E. coli
936	9990058941.35	E. coli
935	10058364429.1	E. coli
934	10717181875.4	E. coli
908	12663634037.5	E. coli
909	12984483388.1	E. coli
878	10854301328.5	E. coli
879	11093455281.9	E. coli
876	10648706895.2	E. coli
877	10633283075.4	E. coli
874	10988030931.1	E. coli
875	10845996194.8	E. coli
872	11301761595.6	E. coli
873	11169387933.3	E. coli
870	11278541119.7	E. coli
871	11216676347.9	E. coli
9	8528355402.04	E. coli
890	13668555220.7	E. coli
891	13796691570.0	E. coli
892	13855335983.8	E. coli
893	13830929060.1	E. coli
894	13657199221.5	E. coli
647	9845142832.11	E. coli
896	13105501051.3	E. coli
897	13184145583.1	E. coli
898	13263468085.0	E. coli
899	13071941531.2	E. coli
646	9923109393.8	E. coli
394	10883962520.5	E. coli
255	12453632798.5	E. coli
649	9922431423.7	E. coli
648	9938024736.04	E. coli
357	11384643440.6	E. coli
356	11460745584.5	E. coli
355	11291592044.1	E. coli
354	11422270781.2	E. coli
353	11447016689.9	E. coli
352	11189388051.3	E. coli
351	11338880458.7	E. coli
350	11361422964.6	E. coli
803	6764107704.85	E. coli
802	6719361678.13	E. coli
801	6768175525.46	E. coli
800	6599869447.7	E. coli
807	7090550308.82	E. coli
953	8609033844.15	E. coli
359	11149387815.3	E. coli
358	11321083743.5	E. coli
216	14860765644.6	E. coli
217	14971952741.3	E. coli
768	6200884042.84	E. coli
215	14758392159.3	E. coli
212	14863477525.0	E. coli
213	14957376384.1	E. coli
210	15966534880.5	E. coli
211	16045009919.8	E. coli
762	6187494133.33	E. coli
955	8355134041.05	E. coli
760	6280715022.32	E. coli
761	6207663743.86	E. coli
766	6095798677.08	E. coli
767	6065290022.5	E. coli
218	14977715487.2	E. coli
219	14845172332.3	E. coli
957	7778689962.07	E. coli
202	16534843318.3	E. coli
956	8018860870.6	E. coli
289	12662108604.7	E. coli
288	12426513994.4	E. coli
4	6268850545.54	E. coli
281	13200755850.6	E. coli
280	13143806362.0	E. coli
283	13262959607.4	E. coli
282	13333129512.9	E. coli
285	12591769206.7	E. coli
284	12846177487.4	E. coli
287	12332954120.4	E. coli
286	12289394541.3	E. coli
678	10208365314.1	E. coli
679	10422603866.2	E. coli
674	9403784295.89	E. coli
675	9661412934.54	E. coli
676	9905990648.73	E. coli
677	9868702293.14	E. coli
670	9351072120.48	E. coli
671	9254630873.51	E. coli
672	9345309374.61	E. coli
673	9499208587.7	E. coli
263	11967867220.6	E. coli
262	12095834077.3	E. coli
261	12226682306.9	E. coli
260	12274140214.0	E. coli
267	12177868459.6	E. coli
266	12108546016.7	E. coli
265	11950917968.0	E. coli
264	11810239171.9	E. coli
269	12229224694.8	E. coli
268	12291258959.1	E. coli
59	27460839985.1	E. coli
58	27426433002.4	E. coli
55	27277110087.5	E. coli
54	26983718526.0	E. coli
57	27338974859.3	E. coli
56	27343042679.9	E. coli
51	25890491737.0	E. coli
50	25390658279.5	E. coli
53	26355240241.7	E. coli
52	26158289927.1	E. coli
537	11844646154.6	E. coli
536	11680746882.5	E. coli
535	11814306992.5	E. coli
259	12336004985.8	E. coli
533	11675492614.2	E. coli
532	11658034884.1	E. coli
531	11751933743.2	E. coli
530	11702780910.8	E. coli
152	16299418200.5	E. coli
539	12128715627.2	E. coli
538	11952951878.3	E. coli
201	16785353270.9	E. coli
988	12401598593.2	E. coli
989	12500921213.1	E. coli
200	16625352326.9	E. coli
982	12784312715.6	E. coli
983	12612447294.8	E. coli
980	13458892966.8	E. coli
981	13015161535.2	E. coli
986	12326682896.9	E. coli
987	12627701622.1	E. coli
984	12379734057.4	E. coli
985	12511429749.6	E. coli
115	22125554269.6	E. coli
114	23584715421.0	E. coli
117	21609788514.7	E. coli
116	22420471263.8	E. coli
111	23056746204.3	E. coli
110	23983192348.3	E. coli
113	22910643647.4	E. coli
253	12380242535.0	E. coli
205	16370435568.6	E. coli
119	20076220144.6	E. coli
118	22056740304.3	E. coli
204	16423147744.0	E. coli
207	16189756536.5	E. coli
206	16232299160.4	E. coli
429	10326840589.4	E. coli
428	10201924598.1	E. coli
534	11650068735.4	E. coli
919	11480237224.9	E. coli
918	11772442338.8	E. coli
915	11868714093.2	E. coli
914	11938714506.2	E. coli
917	11503966178.5	E. coli
916	11697187657.5	E. coli
911	13035670130.8	E. coli
910	13097873887.6	E. coli
913	12418717338.2	E. coli
912	12744481972.1	E. coli
308	13282959725.4	E. coli
309	13522283171.3	E. coli
300	13077365292.0	E. coli
301	13310417514.5	E. coli
302	13232450952.8	E. coli
303	13456689564.0	E. coli
304	13428892789.8	E. coli
305	13828386672.2	E. coli
306	13614487105.1	E. coli
307	13283468203.0	E. coli
895	13447367475.1	E. coli
371	9977855479.52	E. coli
370	10054296608.5	E. coli
827	8170217695.81	E. coli
847	11221761123.6	E. coli
846	10945488307.2	E. coli
845	11128370742.1	E. coli
844	10282094562.7	E. coli
843	10656503551.3	E. coli
842	10410908882.0	E. coli
841	10655825581.2	E. coli
840	10248874027.7	E. coli
821	7813096944.73	E. coli
849	11249896882.9	E. coli
848	11363626367.4	E. coli
377	8552253848.13	E. coli
822	7914453474.94	E. coli
954	8521914686.08	E. coli
144	17406543376.6	E. coli
240	12782956775.4	E. coli
390	10113618992.4	E. coli
732	7048516162.52	E. coli
568	10995997079.8	E. coli
569	10940064546.4	E. coli
751	6536987720.77	E. coli
750	6582242225.06	E. coli
757	6310884691.85	E. coli
900	13184823553.2	E. coli
755	6453088920.68	E. coli
754	6382241045.05	E. coli
560	10923454278.9	E. coli
561	10831589330.1	E. coli
562	10674639251.6	E. coli
509	9785650955.68	E. coli
564	10742436261.7	E. coli
565	10820402823.4	E. coli
566	10882437087.7	E. coli
567	10927522099.5	E. coli
739	7187161048.32	E. coli
229	14168897155.8	E. coli
228	14133134232.9	E. coli
227	14467204000.6	E. coli
226	14636018555.9	E. coli
225	14411271467.2	E. coli
224	14618391333.3	E. coli
223	14682459507.9	E. coli
222	15202801560.9	E. coli
221	15255852721.4	E. coli
220	15146869027.5	E. coli
391	10300230262.9	E. coli
726	8629033962.15	E. coli
727	8579372652.2	E. coli
724	8856492931.27	E. coli
725	8747678729.95	E. coli
722	9120392793.37	E. coli
723	9009205696.69	E. coli
720	9207850936.49	E. coli
721	9163443894.83	E. coli
728	8239540138.71	E. coli
729	7523264726.24	E. coli
605	8899883017.78	E. coli
604	8952764685.72	E. coli
607	9010392144.36	E. coli
606	9012934532.25	E. coli
155	17042473431.9	E. coli
154	17256711984.1	E. coli
603	9153782820.88	E. coli
156	17380272035.1	E. coli
159	17089592354.0	E. coli
158	17143829962.2	E. coli
112	24156922186.9	E. coli
609	8959374894.21	E. coli
608	8870221825.83	E. coli
976	13396689210.0	E. coli
634	9612768579.74	E. coli
399	10792775541.8	E. coli
635	9458021904.02	E. coli
959	7901063565.43	E. coli
958	7847164942.34	E. coli
398	10675995191.8	E. coli
48	25570320356.4	E. coli
49	25566591520.9	E. coli
46	25656422559.3	E. coli
47	25194724920.1	E. coli
44	25151165341.0	E. coli
45	25533201493.3	E. coli
42	24741332414.5	E. coli
43	24827265124.9	E. coli
40	23298273053.0	E. coli
41	24222515794.2	E. coli
638	9797515432.46	E. coli
5	6592072791.53	E. coli
639	9636497533.3	E. coli
374	9500903512.96	E. coli
489	8551914863.08	E. coli
488	8478355107.04	E. coli
487	8449880362.77	E. coli
486	8295472672.1	E. coli
485	8154285398.42	E. coli
484	8127675071.93	E. coli
483	8160387129.33	E. coli
482	8226319721.73	E. coli
481	8295981149.68	E. coli
480	8319032133.14	E. coli
790	4355788411.02	E. coli
472	7158347318.99	E. coli
473	7114279262.38	E. coli
470	7265297102.54	E. coli
471	7315975367.64	E. coli
476	7801232467.95	E. coli
477	7827842794.44	E. coli
474	7601231287.94	E. coli
475	7772927216.2	E. coli
