Pos	Rate	Type
585	0.0	E. coli
582	0.0	E. coli
583	0.0	E. coli
580	0.0	E. coli
581	0.0	E. coli
413	0.0	E. coli
588	0.0	E. coli
589	0.0	E. coli
245	0.0	E. coli
244	0.0	E. coli
247	0.0	E. coli
246	0.0	E. coli
241	0.0	E. coli
148	0.0	E. coli
243	0.0	E. coli
242	0.0	E. coli
149	0.0	E. coli
249	2.31532933244e-06	E. coli
248	0.0	E. coli
924	0.0	E. coli
970	0.0	E. coli
498	0.0	E. coli
925	0.0	E. coli
519	2.48138957816e-05	E. coli
518	0.0	E. coli
511	0.0	E. coli
510	0.0	E. coli
513	0.0	E. coli
512	0.0	E. coli
515	0.0	E. coli
514	0.0	E. coli
517	0.0	E. coli
516	0.0	E. coli
458	0.0	E. coli
459	0.0	E. coli
621	3.12578144536e-05	E. coli
620	0.0	E. coli
627	0.0	E. coli
951	8.14597588791e-05	E. coli
625	0.0	E. coli
624	0.0	E. coli
450	0.0	E. coli
451	0.0	E. coli
629	0.0	E. coli
453	0.0	E. coli
454	0.0	E. coli
455	0.0	E. coli
456	0.0	E. coli
457	0.0	E. coli
179	0.0	E. coli
178	0.0	E. coli
177	4.08246580935e-06	E. coli
199	0.0	E. coli
175	0.0	E. coli
174	0.0	E. coli
173	0.0	E. coli
172	0.0	E. coli
171	4.26544731746e-06	E. coli
170	0.0	E. coli
203	0.0	E. coli
656	0.0	E. coli
975	4.2157805096e-06	E. coli
974	0.0	E. coli
973	0.0	E. coli
972	0.0	E. coli
971	0.0	E. coli
657	0.0	E. coli
654	8.7199162888e-06	E. coli
979	0.0	E. coli
978	0.0	E. coli
182	0.0	E. coli
183	4.09399819864e-05	E. coli
180	0.0	E. coli
181	0.0	E. coli
186	0.0	E. coli
653	0.0	E. coli
184	0.0	E. coli
185	0.0	E. coli
652	0.0	E. coli
188	0.0	E. coli
189	0.0	E. coli
658	0.0	E. coli
659	0.0	E. coli
650	0.0	E. coli
651	0.0	E. coli
764	0.0	E. coli
869	0.0	E. coli
868	0.0	E. coli
13	0.0	E. coli
12	0.0	E. coli
15	0.0	E. coli
14	0.0	E. coli
17	0.0	E. coli
16	0.0	E. coli
861	0.0	E. coli
860	0.0	E. coli
863	0.0	E. coli
862	0.0	E. coli
865	0.0	E. coli
864	1.06302460264e-06	E. coli
867	0.0	E. coli
866	0.0	E. coli
883	0.0	E. coli
882	0.0	E. coli
881	0.0	E. coli
880	0.0	E. coli
887	0.0	E. coli
886	0.0	E. coli
885	0.0	E. coli
884	0.0	E. coli
928	0.0	E. coli
889	0.0	E. coli
888	0.0	E. coli
278	0.0	E. coli
950	0.0	E. coli
756	0.0	E. coli
929	0.0	E. coli
809	0.0	E. coli
322	0.0	E. coli
323	0.0	E. coli
320	0.0	E. coli
321	2.7604482968e-05	E. coli
326	0.0	E. coli
327	0.0	E. coli
324	1.69457633897e-06	E. coli
325	0.0	E. coli
328	0.0	E. coli
329	0.0	E. coli
759	1.91923844618e-05	E. coli
775	0.0	E. coli
774	0.0	E. coli
777	0.0	E. coli
776	0.0	E. coli
771	0.0	E. coli
770	0.0	E. coli
773	0.0	E. coli
772	0.0	E. coli
209	0.0	E. coli
208	0.0	E. coli
779	0.0	E. coli
778	0.0	E. coli
77	0.0	E. coli
76	0.0	E. coli
75	4.99361384883e-05	E. coli
74	0.0	E. coli
73	1.83654729109e-05	E. coli
72	0.0	E. coli
71	0.0	E. coli
70	0.0	E. coli
655	0.0	E. coli
79	0.0	E. coli
78	1.66422580216e-05	E. coli
2	0.0	E. coli
686	0.0	E. coli
806	0.0	E. coli
805	0.0	E. coli
804	0.000131578947368	E. coli
669	1.70369360774e-05	E. coli
668	0.0	E. coli
667	0.0	E. coli
666	0.0	E. coli
665	0.0	E. coli
664	0.0	E. coli
663	1.44063157288e-05	E. coli
662	0.0	E. coli
661	0.0	E. coli
660	0.0	E. coli
769	0.0	E. coli
692	0.0	E. coli
693	0.0	E. coli
690	0.0	E. coli
691	0.0	E. coli
696	0.0	E. coli
697	0.0	E. coli
694	0.0	E. coli
695	0.0	E. coli
698	0.0	E. coli
699	0.0	E. coli
542	0.0	E. coli
543	0.0	E. coli
540	0.0	E. coli
541	0.0	E. coli
546	0.0	E. coli
547	0.0	E. coli
544	0.0	E. coli
545	0.0	E. coli
8	0.0	E. coli
548	0.0	E. coli
549	0.0	E. coli
995	0.0	E. coli
994	0.0	E. coli
997	0.0	E. coli
996	0.0	E. coli
991	0.0	E. coli
990	0.0	E. coli
993	0.0	E. coli
992	0.0	E. coli
258	0.0	E. coli
999	0.0	E. coli
998	0.0	E. coli
120	8.60911188402e-06	E. coli
121	0.0	E. coli
122	0.0	E. coli
123	0.0	E. coli
124	0.0	E. coli
125	0.0	E. coli
126	0.0	E. coli
127	0.0	E. coli
128	0.0	E. coli
129	1.19218783158e-06	E. coli
765	0.0	E. coli
214	0.0	E. coli
563	0.0	E. coli
414	0.0	E. coli
19	0.0	E. coli
416	0.0	E. coli
417	0.0	E. coli
410	0.0	E. coli
411	0.0	E. coli
412	0.0	E. coli
18	9.82469833865e-05	E. coli
920	0.0	E. coli
426	0.0	E. coli
922	0.0	E. coli
923	0.0	E. coli
418	0.0	E. coli
419	0.0	E. coli
926	0.0	E. coli
927	0.0	E. coli
319	0.0	E. coli
318	0.0	E. coli
313	0.0	E. coli
312	0.0	E. coli
311	0.0	E. coli
310	0.0	E. coli
317	0.0	E. coli
316	0.0	E. coli
315	1.71115674196e-06	E. coli
314	0.0	E. coli
448	0.0	E. coli
921	0.0	E. coli
496	0.0	E. coli
832	0.0	E. coli
833	0.0	E. coli
830	0.0	E. coli
831	0.0	E. coli
836	0.0	E. coli
837	0.0	E. coli
834	7.7065351418e-06	E. coli
835	0.0	E. coli
838	0.0	E. coli
839	0.0	E. coli
808	0.0	E. coli
3	0.0	E. coli
368	0.0	E. coli
369	0.0	E. coli
366	0.0	E. coli
367	0.0	E. coli
364	0.0	E. coli
365	0.0	E. coli
362	0.0	E. coli
363	4.79642575e-05	E. coli
360	0.0	E. coli
361	0.0	E. coli
10	0.0	E. coli
952	0.0	E. coli
380	0.0	E. coli
381	0.0	E. coli
382	0.0	E. coli
383	0.0	E. coli
384	0.0	E. coli
385	0.0	E. coli
386	0.0	E. coli
387	0.0	E. coli
388	0.0	E. coli
389	0.0	E. coli
784	0.0	E. coli
785	0.0	E. coli
786	0.0	E. coli
787	0.0	E. coli
780	0.0	E. coli
781	0.0	E. coli
782	0.0	E. coli
783	0.0	E. coli
788	0.0	E. coli
789	0.0	E. coli
252	0.0	E. coli
151	0.0	E. coli
579	0.0	E. coli
578	0.0	E. coli
150	6.77231477719e-05	E. coli
573	0.0	E. coli
572	0.0	E. coli
571	0.0	E. coli
570	5.97533620229e-07	E. coli
577	0.0	E. coli
576	0.0	E. coli
575	0.0	E. coli
574	0.0	E. coli
60	0.0	E. coli
61	0.0	E. coli
62	0.0	E. coli
63	0.0	E. coli
64	0.0	E. coli
65	0.0	E. coli
66	0.0	E. coli
67	0.0	E. coli
68	0.0	E. coli
69	6.47423540838e-05	E. coli
250	0.0	E. coli
251	0.0	E. coli
256	0.0	E. coli
257	0.0	E. coli
254	0.0	E. coli
600	0.0	E. coli
499	0.0	E. coli
157	0.0	E. coli
602	0.0	E. coli
405	0.0	E. coli
731	0.0	E. coli
730	0.0	E. coli
733	0.0	E. coli
404	0.0	E. coli
735	0.0	E. coli
734	0.0	E. coli
508	0.0	E. coli
736	0.0	E. coli
506	0.0	E. coli
507	0.0	E. coli
504	0.0	E. coli
505	0.0	E. coli
502	0.0	E. coli
503	0.0	E. coli
500	0.0	E. coli
501	0.0	E. coli
630	2.8636884307e-05	E. coli
631	0.0	E. coli
632	0.0	E. coli
633	0.0	E. coli
469	0.0	E. coli
468	0.0	E. coli
636	0.0	E. coli
637	0.0	E. coli
465	0.0	E. coli
464	0.0	E. coli
467	0.0	E. coli
466	0.0	E. coli
461	0.0	E. coli
460	0.0	E. coli
463	0.0	E. coli
462	0.0	E. coli
901	0.0	E. coli
168	0.0	E. coli
169	0.0	E. coli
164	0.0	E. coli
165	3.23206205559e-05	E. coli
166	0.0	E. coli
167	0.0	E. coli
160	0.0	E. coli
161	0.0	E. coli
162	0.0	E. coli
163	0.0	E. coli
964	0.0	E. coli
965	0.0	E. coli
966	0.0	E. coli
967	0.0	E. coli
960	0.0	E. coli
961	0.0	E. coli
962	0.0	E. coli
963	0.0	E. coli
968	0.0	E. coli
969	0.0	E. coli
936	0.0	E. coli
935	0.0	E. coli
934	0.0	E. coli
908	0.0	E. coli
909	0.0	E. coli
878	0.0	E. coli
879	0.0	E. coli
876	0.0	E. coli
877	0.0	E. coli
874	0.0	E. coli
875	0.0	E. coli
872	0.0	E. coli
873	0.0	E. coli
870	0.0	E. coli
871	0.0	E. coli
9	0.0	E. coli
890	0.0	E. coli
891	0.0	E. coli
892	0.0	E. coli
893	0.0	E. coli
894	1.17111377605e-06	E. coli
647	0.0	E. coli
896	0.0	E. coli
897	0.0	E. coli
898	0.0	E. coli
899	0.0	E. coli
646	0.0	E. coli
394	0.0	E. coli
255	0.0	E. coli
649	0.0	E. coli
648	0.0	E. coli
357	0.0	E. coli
356	0.0	E. coli
355	0.0	E. coli
354	0.0	E. coli
353	0.0	E. coli
352	0.0	E. coli
351	0.0	E. coli
350	0.0	E. coli
803	0.0	E. coli
802	0.0	E. coli
801	8.84861784589e-06	E. coli
800	0.0	E. coli
807	0.0	E. coli
953	0.0	E. coli
359	0.0	E. coli
358	0.0	E. coli
216	0.0	E. coli
217	0.0	E. coli
768	0.0	E. coli
215	0.0	E. coli
212	0.0	E. coli
213	3.65817968979e-05	E. coli
210	2.11647378536e-06	E. coli
211	0.0	E. coli
762	0.0	E. coli
955	0.0	E. coli
760	0.0	E. coli
761	0.0	E. coli
766	0.0	E. coli
767	0.0	E. coli
218	0.0	E. coli
219	0.0	E. coli
957	0.0	E. coli
202	0.0	E. coli
956	0.0	E. coli
289	0.0	E. coli
288	0.0	E. coli
4	0.0	E. coli
281	0.0	E. coli
280	0.0	E. coli
283	0.0	E. coli
282	0.0	E. coli
285	0.0	E. coli
284	0.0	E. coli
287	0.0	E. coli
286	0.0	E. coli
678	0.0	E. coli
679	0.0	E. coli
674	0.0	E. coli
675	0.0	E. coli
676	0.0	E. coli
677	0.0	E. coli
670	0.0	E. coli
671	0.0	E. coli
672	5.81173730543e-06	E. coli
673	0.0	E. coli
263	1.34716421932e-05	E. coli
262	0.0	E. coli
261	0.0	E. coli
260	0.0	E. coli
267	2.09542568573e-06	E. coli
266	0.0	E. coli
265	0.0	E. coli
264	0.0	E. coli
269	0.0	E. coli
268	0.0	E. coli
59	0.0	E. coli
58	0.0	E. coli
55	0.0	E. coli
54	0.0	E. coli
57	0.0	E. coli
56	0.0	E. coli
51	0.0	E. coli
50	0.0	E. coli
53	0.0	E. coli
52	0.0	E. coli
537	0.0	E. coli
536	0.0	E. coli
535	0.0	E. coli
259	0.0	E. coli
533	0.0	E. coli
532	0.0	E. coli
531	0.0	E. coli
530	0.0	E. coli
152	0.0	E. coli
539	0.0	E. coli
538	0.0	E. coli
201	0.0	E. coli
988	0.0	E. coli
989	0.0	E. coli
200	0.0	E. coli
982	0.0	E. coli
983	0.0	E. coli
980	0.0	E. coli
981	5.70538068983e-06	E. coli
986	0.0	E. coli
987	0.0	E. coli
984	0.0	E. coli
985	0.0	E. coli
115	0.0	E. coli
114	0.0	E. coli
117	1.18019166313e-05	E. coli
116	0.0	E. coli
111	0.0	E. coli
110	0.0	E. coli
113	0.0	E. coli
253	0.0	E. coli
205	0.0	E. coli
119	0.0	E. coli
118	0.0	E. coli
204	0.0	E. coli
207	1.19521150463e-06	E. coli
206	0.0	E. coli
429	0.0	E. coli
428	0.0	E. coli
534	0.0	E. coli
919	0.0	E. coli
918	0.0	E. coli
915	0.0	E. coli
914	0.0	E. coli
917	0.0	E. coli
916	0.0	E. coli
911	0.0	E. coli
910	0.0	E. coli
913	0.0	E. coli
912	0.0	E. coli
308	0.0	E. coli
309	0.0	E. coli
300	0.0	E. coli
301	0.0	E. coli
302	0.0	E. coli
303	0.0	E. coli
304	0.0	E. coli
305	0.0	E. coli
306	0.0	E. coli
307	0.0	E. coli
895	0.0	E. coli
371	0.0	E. coli
370	0.0	E. coli
827	0.0	E. coli
847	0.0	E. coli
846	0.0	E. coli
845	0.0	E. coli
844	0.0	E. coli
843	0.0	E. coli
842	0.0	E. coli
841	0.0	E. coli
840	0.0	E. coli
821	0.0	E. coli
849	0.0	E. coli
848	0.0	E. coli
377	0.0	E. coli
822	1.47754137116e-05	E. coli
954	0.0	E. coli
144	0.0	E. coli
240	0.0	E. coli
390	0.0	E. coli
732	2.10084033613e-05	E. coli
568	0.0	E. coli
569	0.0	E. coli
751	0.0	E. coli
750	2.8207949e-05	E. coli
757	0.0	E. coli
900	0.0	E. coli
755	0.0	E. coli
754	0.0	E. coli
560	0.0	E. coli
561	0.0	E. coli
562	0.0	E. coli
509	0.0	E. coli
564	0.0	E. coli
565	0.0	E. coli
566	0.0	E. coli
567	0.0	E. coli
739	0.0	E. coli
229	0.0	E. coli
228	0.0	E. coli
227	0.0	E. coli
226	0.0	E. coli
225	0.0	E. coli
224	0.0	E. coli
223	0.0	E. coli
222	5.73921028466e-05	E. coli
221	0.0	E. coli
220	0.0	E. coli
391	0.0	E. coli
726	0.0	E. coli
727	0.0	E. coli
724	0.0	E. coli
725	0.0	E. coli
722	0.0	E. coli
723	0.0	E. coli
720	0.0	E. coli
721	0.0	E. coli
728	0.0	E. coli
729	0.0	E. coli
605	0.0	E. coli
604	0.0	E. coli
607	0.0	E. coli
606	0.0	E. coli
155	0.0	E. coli
154	0.0	E. coli
603	0.0	E. coli
156	9.05797101449e-06	E. coli
159	3.1001984127e-06	E. coli
158	0.0	E. coli
112	0.0	E. coli
609	7.0276044302e-06	E. coli
608	0.0	E. coli
976	0.0	E. coli
634	0.0	E. coli
399	5.91296121097e-05	E. coli
635	0.0	E. coli
959	0.0	E. coli
958	0.0	E. coli
398	0.0	E. coli
48	0.0	E. coli
49	0.0	E. coli
46	0.0	E. coli
47	0.0	E. coli
44	0.0	E. coli
45	1.7060301642e-05	E. coli
42	3.39328130302e-06	E. coli
43	0.0	E. coli
40	0.0	E. coli
41	0.0	E. coli
638	0.0	E. coli
5	0.0	E. coli
639	0.0	E. coli
374	0.0	E. coli
489	0.0	E. coli
488	0.0	E. coli
487	0.0	E. coli
486	0.0	E. coli
485	0.0	E. coli
484	0.0	E. coli
483	0.0	E. coli
482	0.0	E. coli
481	0.0	E. coli
480	0.0	E. coli
790	0.0	E. coli
472	0.0	E. coli
473	0.0	E. coli
470	0.0	E. coli
471	8.46310088016e-06	E. coli
476	0.0	E. coli
477	6.62120108588e-06	E. coli
474	0.0	E. coli
475	0.0	E. coli
478	0.0	E. coli
479	0.0	E. coli
187	0.0	E. coli
507	0.0	B. subtilis
818	0.0	B. subtilis
819	0.0	B. subtilis
346	0.0	B. subtilis
347	0.0	B. subtilis
340	0.0	B. subtilis
341	0.0	B. subtilis
342	1.30340710618e-05	B. subtilis
343	0.0	B. subtilis
810	0.0	B. subtilis
811	0.0	B. subtilis
812	0.0	B. subtilis
813	0.0	B. subtilis
814	0.0	B. subtilis
815	0.0	B. subtilis
816	0.0	B. subtilis
817	0.0	B. subtilis
719	0.0	B. subtilis
718	0.0	B. subtilis
717	0.0	B. subtilis
716	0.0	B. subtilis
715	0.0	B. subtilis
714	0.0	B. subtilis
713	0.0	B. subtilis
712	0.0	B. subtilis
711	1.31981839299e-05	B. subtilis
710	0.0	B. subtilis
915	0.0	B. subtilis
420	0.0	B. subtilis
606	0.0	B. subtilis
917	0.0	B. subtilis
916	0.0	B. subtilis
425	0.0	B. subtilis
424	0.0	B. subtilis
868	0.0	B. subtilis
427	0.0	B. subtilis
298	0.0	B. subtilis
299	0.0	B. subtilis
296	0.0	B. subtilis
297	0.0	B. subtilis
294	0.0	B. subtilis
426	0.0	B. subtilis
292	0.0	B. subtilis
293	0.0	B. subtilis
290	0.0	B. subtilis
291	0.0	B. subtilis
591	0.0	B. subtilis
590	0.0	B. subtilis
593	0.0	B. subtilis
592	0.0	B. subtilis
199	0.0	B. subtilis
198	0.0	B. subtilis
597	0.0	B. subtilis
596	0.0	B. subtilis
195	0.0	B. subtilis
194	0.0	B. subtilis
197	0.0	B. subtilis
196	0.0	B. subtilis
191	0.0	B. subtilis
190	0.0	B. subtilis
193	0.0	B. subtilis
192	0.0	B. subtilis
270	0.0	B. subtilis
271	0.0	B. subtilis
272	0.0	B. subtilis
273	0.0	B. subtilis
274	0.0	B. subtilis
275	0.0	B. subtilis
276	0.0	B. subtilis
277	0.0	B. subtilis
278	0.0	B. subtilis
279	0.0	B. subtilis
497	0.0	B. subtilis
524	0.0	B. subtilis
525	0.0	B. subtilis
526	0.0	B. subtilis
527	0.0	B. subtilis
520	0.0	B. subtilis
521	0.0	B. subtilis
522	0.0	B. subtilis
523	0.0	B. subtilis
599	0.0	B. subtilis
528	8.3870101986e-06	B. subtilis
529	0.0	B. subtilis
449	0.0	B. subtilis
448	0.0	B. subtilis
345	0.0	B. subtilis
443	0.0	B. subtilis
442	0.0	B. subtilis
441	9.71571808872e-06	B. subtilis
440	0.0	B. subtilis
447	0.0	B. subtilis
446	0.0	B. subtilis
445	0.0	B. subtilis
444	0.0	B. subtilis
108	0.0	B. subtilis
109	0.0	B. subtilis
598	0.0	B. subtilis
103	0.0	B. subtilis
100	0.0	B. subtilis
101	0.0	B. subtilis
106	0.0	B. subtilis
107	0.0	B. subtilis
104	0.0	B. subtilis
105	2.28102189781e-05	B. subtilis
902	0.0	B. subtilis
903	4.46707763781e-06	B. subtilis
39	0.0	B. subtilis
38	0.0	B. subtilis
906	0.0	B. subtilis
907	0.0	B. subtilis
904	0.0	B. subtilis
905	0.0	B. subtilis
33	2.72194797662e-05	B. subtilis
32	0.0	B. subtilis
31	0.0	B. subtilis
30	0.0	B. subtilis
37	0.0	B. subtilis
36	6.80542474017e-07	B. subtilis
35	0.0	B. subtilis
34	0.0	B. subtilis
641	0.0	B. subtilis
640	0.0	B. subtilis
643	0.0	B. subtilis
642	0.0	B. subtilis
645	0.0	B. subtilis
644	0.0	B. subtilis
438	4.13544406398e-06	B. subtilis
439	0.0	B. subtilis
649	0.0	B. subtilis
437	0.0	B. subtilis
434	0.0	B. subtilis
435	0.0	B. subtilis
432	0.0	B. subtilis
433	0.0	B. subtilis
430	0.0	B. subtilis
820	0.0	B. subtilis
753	0.0	B. subtilis
826	0.0	B. subtilis
339	0.0	B. subtilis
338	0.0	B. subtilis
335	0.0	B. subtilis
334	0.0	B. subtilis
337	0.0	B. subtilis
336	2.35633540682e-05	B. subtilis
331	0.0	B. subtilis
330	0.0	B. subtilis
333	0.0	B. subtilis
332	0.0	B. subtilis
89	2.61425606115e-06	B. subtilis
559	0.0	B. subtilis
558	0.0	B. subtilis
854	0.0	B. subtilis
344	0.0	B. subtilis
856	0.0	B. subtilis
857	0.0	B. subtilis
850	0.0	B. subtilis
851	0.0	B. subtilis
852	0.0	B. subtilis
0	0.0	B. subtilis
858	0.0	B. subtilis
859	0.0	B. subtilis
555	0.0	B. subtilis
6	0.0	B. subtilis
99	0.0	B. subtilis
98	0.0	B. subtilis
91	4.88357555868e-06	B. subtilis
90	0.0	B. subtilis
93	0.0	B. subtilis
92	0.0	B. subtilis
95	0.0	B. subtilis
94	0.0	B. subtilis
97	0.0	B. subtilis
96	1.42605911985e-07	B. subtilis
348	0.0	B. subtilis
349	0.0	B. subtilis
740	0.0	B. subtilis
741	0.0	B. subtilis
742	0.0	B. subtilis
743	0.0	B. subtilis
744	0.0	B. subtilis
745	0.0	B. subtilis
746	0.0	B. subtilis
747	0.0	B. subtilis
748	0.0	B. subtilis
